full_date_time,config_name,latitude,longitude,elevation,anno,mese,day,hour,prod,peakpower
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,02,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,03,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,04,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,05,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,06,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,07,2.31739,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,08,33.54883,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,09,54.862269999999995,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,10,83.20723,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,11,87.4535,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,12,75.70649,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,13,72.75161,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,14,49.944309999999994,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,15,5.318779999999999,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,16,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,17,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,18,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,19,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,20,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,21,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,22,0.0,136.8
2022-01-03,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,03,23,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,00,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,01,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,02,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,03,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,04,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,05,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,06,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,07,3.27773,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,08,10.01102,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,09,15.16018,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,10,21.50359,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,11,26.522779999999997,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,12,66.75019,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,13,64.96085,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,14,53.86363,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,15,18.608900000000002,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,16,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,17,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,18,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,19,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,20,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,21,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,22,0.0,136.8
2022-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,04,23,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,00,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,01,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,02,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,03,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,04,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,05,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,06,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,07,14.112290000000002,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,08,51.9115,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,09,76.68871,136.8
